link,price,pid,name
http://www.amazon.in/Samsung-Galaxy-GT-S5282-Ceramic-White/dp/B00D2S3P6I,4490,B00D2S3P6I,Samsung Galaxy Star GT-S5282 (Ceramic White)
http://www.amazon.in/LG-Lite-D686-Dual-White/dp/B00G7JX2Y4,16900,B00G7JX2Y4,"LG G Pro Lite D686 (Dual SIM, White)"
http://www.amazon.in/Micromax-Bolt-GC232-Black-Silver/dp/B00H2JSDAQ,2450,B00H2JSDAQ,Micromax Bolt GC232 (Black+Silver)
http://www.amazon.in/Samsung-GT-S5282-Star-Silver/dp/B00GLJALQ2,3990,B00GLJALQ2,Samsung Star GT-S5282 (Silver)
http://www.amazon.in/Devante-Subway-Series-Boss-Phone/dp/B00KYJTHHO,700,B00KYJTHHO,Devante Subway Series Boss 1 Phone
http://www.amazon.in/Samsung-Galaxy-Duos-GT-S7582-Black/dp/B00H3YSW6K,9200,B00H3YSW6K,Samsung Galaxy S Duos 2 GT-S7582 (Black)
http://www.amazon.in/Kinda-W1-Watch-Phone/dp/B00EZP81YS,2099,B00EZP81YS,Kinda W1 Watch Phone
http://www.amazon.in/XOLO-Win-Q900S-Xolo-Black/dp/B00LM58I7Y,8099,B00LM58I7Y,Xolo Win Q900S (Black)
http://www.amazon.in/Nokia-105-NOKIA-RED/dp/B00P2G6AD8,1207,B00P2G6AD8,NOKIA 105 (RED)
http://www.amazon.in/Nokia-206-Dual-SIM-Black/dp/B00BJDSGRG,3725,B00BJDSGRG,"Nokia 206 (Dual SIM, Black)"
http://www.amazon.in/Apple-iPhone-6-Gold-64GB/dp/B00O4WTU7E,70500,B00O4WTU7E,"Apple iPhone 6 (Gold, 64GB)"
http://www.amazon.in/Apple-iPhone-6-Gold-16GB/dp/B00O4WTN9E,61500,B00O4WTN9E,"Apple iPhone 6 (Gold, 16GB)"
http://www.amazon.in/Samsung-Galaxy-Advance-SM-G350E-White/dp/B00LY3PKRU,6620,B00LY3PKRU,Samsung Galaxy Star Advance SM-G350E (White)
http://www.amazon.in/Intex-Aqua-Blue-Mobile-Phone/dp/B00M2NSOV0,4330,B00M2NSOV0,Intex Aqua Y2 (Blue) Mobile Phone
http://www.amazon.in/Nokia-220-Dual-SIM-White/dp/B00KG2JE9A,2899,B00KG2JE9A,"Nokia 220 (Dual SIM, White)"
http://www.amazon.in/Sony-Xperia-T2-Ultra-Purple/dp/B00I0SMJZI,23438,B00I0SMJZI,Sony Xperia T2 Ultra Dual (Purple)
http://www.amazon.in/Sony-Xperia-Z3-Black/dp/B00NPTLX0Y,49990,B00NPTLX0Y,Sony Xperia Z3 (Black)
